starttime,stoptime,start station name,end station name,start station latitude,start station longitude,end station latitude,end station longitude,usertype,day of week,start date,stop date,tripduration
2022-01-31 18:52:00,2022-01-31 19:20:00,Van Vorst Park,Newport Pkwy,40.718488,-74.047726,40.7287448,-74.0321082,member,Wednesday,04/14/2021,04/14/2021,0 days 00:28:00
2022-01-31 18:23:00,2022-01-31 18:52:00,Brunswick & 6th,Newport Pkwy,40.726011,-74.050388,40.7287448,-74.0321082,member,Friday,04/30/2021,04/30/2021,0 days 00:29:00
2022-01-31 19:29:00,2022-01-31 19:53:00,Brunswick & 6th,Newport Pkwy,40.726011,-74.050388,40.7287448,-74.0321082,member,Tuesday,04/20/2021,04/20/2021,0 days 00:24:00
2022-01-31 15:52:00,2022-01-31 16:16:00,Fairmount Ave,Warren St,40.725726,-74.071959,40.7211236,-74.03805095,member,Wednesday,04/28/2021,04/28/2021,0 days 00:24:00
2022-01-31 19:50:00,2022-01-31 19:57:00,Brunswick & 6th,Warren St,40.726011,-74.050388,40.7211236,-74.03805095,member,Wednesday,04/14/2021,04/14/2021,0 days 00:07:00
2022-01-31 10:53:00,2022-01-31 11:21:00,Van Vorst Park,Leonard Gordon Park,40.718488,-74.047726,40.74590996631558,-74.0572714805603,casual,Tuesday,04/20/2021,04/20/2021,0 days 00:28:00
2022-01-31 23:05:00,2022-01-31 23:16:00,Van Vorst Park,Christ Hospital,40.718488,-74.047726,40.734785818,-74.050443636,member,Tuesday,04/27/2021,04/27/2021,0 days 00:11:00
2022-01-31 19:25:00,2022-01-31 20:06:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,member,Tuesday,04/06/2021,04/06/2021,0 days 00:41:00
2022-01-31 13:49:00,2022-01-31 13:56:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,member,Saturday,04/17/2021,04/17/2021,0 days 00:07:00
2022-01-31 14:09:00,2022-01-31 14:16:00,Brunswick & 6th,Manila & 1st,40.726012,-74.050389,40.721651,-74.042884,member,Wednesday,04/07/2021,04/07/2021,0 days 00:07:00
